2026-03-29 12:13:54,297 | INFO     | qushield.extended_discovery | Scanning 7 ports on apitrk.pnb.bank.in
2026-03-29 12:13:59,309 | INFO     | qushield.extended_discovery | Found 1 open ports on apitrk.pnb.bank.in
2026-03-29 12:13:59,309 | INFO     | qushield.extended_discovery | Detected 1 services on apitrk.pnb.bank.in
2026-03-29 12:13:59,323 | INFO     | qushield.extended_discovery | ASN lookup successful for 1.7.178.30: AS9583
2026-03-29 12:13:59,590 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.21: AS137130
2026-03-29 12:13:59,591 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:13:59,605 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.21: AS137130
2026-03-29 12:13:59,605 | INFO     | qushield.extended_discovery | Scanning 7 ports on applications.pnb.bank.in
2026-03-29 12:14:04,621 | INFO     | qushield.extended_discovery | Found 1 open ports on applications.pnb.bank.in
2026-03-29 12:14:04,622 | INFO     | qushield.extended_discovery | Detected 1 services on applications.pnb.bank.in
2026-03-29 12:14:04,634 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.21: AS137130
2026-03-29 12:14:04,901 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.168: AS137130
2026-03-29 12:14:04,902 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:04,914 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.168: AS137130
2026-03-29 12:14:04,915 | INFO     | qushield.extended_discovery | Scanning 7 ports on apply.creditcard.pnb.bank.in
2026-03-29 12:14:09,941 | INFO     | qushield.extended_discovery | Found 2 open ports on apply.creditcard.pnb.bank.in
2026-03-29 12:14:09,942 | INFO     | qushield.extended_discovery | Detected 2 services on apply.creditcard.pnb.bank.in
2026-03-29 12:14:09,954 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.225.168: AS137130
2026-03-29 12:14:10,217 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.126: AS137130
2026-03-29 12:14:10,218 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:10,233 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.126: AS137130
2026-03-29 12:14:10,234 | INFO     | qushield.extended_discovery | Scanning 7 ports on apps.pnb.bank.in
2026-03-29 12:14:15,243 | INFO     | qushield.extended_discovery | Found 1 open ports on apps.pnb.bank.in
2026-03-29 12:14:15,244 | INFO     | qushield.extended_discovery | Detected 1 services on apps.pnb.bank.in
2026-03-29 12:14:15,257 | INFO     | qushield.extended_discovery | ASN lookup successful for 103.109.224.126: AS137130
2026-03-29 12:14:15,271 | INFO     | qushield.extended_discovery | ASN lookup successful for 1.7.178.30: AS9583
2026-03-29 12:14:15,272 | WARNING  | qushield.extended_discovery | geoip2 not installed for GeoIP lookup
2026-03-29 12:14:15,285 | INFO     | qushield.extended_discovery | ASN lookup successful for 1.7.178.30: AS9583
2026-03-29 12:14:15,286 | INFO     | qushield.extended_discovery | Scanning 7 ports on apptrk.pnb.bank.in
2026-03-29 12:14:20,295 | INFO     | qushield.extended_discovery | Found 1 open ports on apptrk.pnb.bank.in
2026-03-29 12:14:20,296 | INFO     | qushield.extended_discovery | Detected 1 services on apptrk.pnb.bank.in
